日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/03/27,19732209,15418346943,785.00,785.00,779.00,779.00,-3.00,21006
113/03/28,28393398,21889883699,774.00,776.00,768.00,769.00,-10.00,39848
113/03/29,20212820,15682908766,769.00,781.00,768.00,779.00,+10.00,18110
113/04/01,22348250,17301753062,783.00,783.00,769.00,770.00,-9.00,28192
113/04/02,42219075,33230356267,784.00,790.00,783.00,790.00,+20.00,41138
113/04/03,32909892,25719094412,783.00,785.00,778.00,780.00,-10.00,36003
113/04/08,40567580,31925988285,789.00,792.00,783.00,783.00,+3.00,29304
113/04/09,61642573,49946542596,795.00,820.00,792.00,819.00,+36.00,89138
113/04/10,31109466,25358780514,815.00,819.00,810.00,815.00,-4.00,39131
113/04/11,27772972,22655121636,811.00,820.00,811.00,820.00,+5.00,34739
113/04/12,32473155,26663806808,823.00,826.00,817.00,818.00,-2.00,38091
113/04/15,41251141,33300372097,804.00,812.00,803.00,806.00,-12.00,60451
113/04/16,54120813,42833069476,802.00,803.00,785.00,788.00,-18.00,127956
113/04/17,36616351,29324186091,798.00,808.00,793.00,804.00,+16.00,43890
113/04/18,45765617,36684269610,796.00,810.00,792.00,804.00, 0.00,46571
113/04/19,143868560,109032970933,769.00,770.00,746.00,750.00,-54.00,356590
113/04/22,52354944,39093628250,740.00,757.00,740.00,742.00,-8.00,103120
113/04/23,32067682,24247217869,761.00,761.00,752.00,754.00,+12.00,34807
113/04/24,41652749,32458429294,770.00,785.00,769.00,783.00,+29.00,58442
113/04/25,30492037,23412746667,770.00,774.00,765.00,766.00,-17.00,64220
113/04/26,34721905,27272338208,788.00,789.00,782.00,782.00,+16.00,42824
113/04/29,30704200,24322394064,790.00,795.00,787.00,795.00,+13.00,35585
113/04/30,41627249,33118845170,797.00,802.00,790.00,790.00,-5.00,40926
113/05/02,47536363,36983047647,789.00,789.00,772.00,772.00,-18.00,85051
113/05/03,31026748,24240817990,788.00,788.00,773.00,780.00,+8.00,35153
113/05/06,33733509,26644713164,791.00,793.00,786.00,786.00,+6.00,32394
113/05/07,35917824,28623349239,797.00,800.00,792.00,800.00,+14.00,38340
113/05/08,22585765,18032263877,794.00,802.00,792.00,802.00,+2.00,23525
113/05/09,22863681,18267303103,798.00,802.00,796.00,796.00,-6.00,23671
113/05/10,27560431,22107595449,803.00,807.00,798.00,802.00,+6.00,41029
113/05/13,38146948,31315059679,823.00,825.00,818.00,819.00,+17.00,49327
113/05/14,29663617,24309306615,816.00,825.00,811.00,825.00,+6.00,34685
113/05/15,41805778,35112739055,838.00,844.00,837.00,839.00,+14.00,57892
113/05/16,46276890,39179826883,852.00,856.00,837.00,841.00,+2.00,60617
113/05/17,27855719,23373478247,848.00,848.00,834.00,835.00,-6.00,38718
113/05/20,30148330,25069342221,834.00,838.00,822.00,835.00, 0.00,43094
113/05/21,20548110,17214095315,830.00,841.00,830.00,841.00,+6.00,20770
113/05/22,40904357,35027824713,845.00,865.00,843.00,864.00,+23.00,63360
113/05/23,40771207,35638205695,875.00,877.00,867.00,875.00,+11.00,50325
113/05/24,37353467,32358555678,858.00,872.00,858.00,867.00,-8.00,50611
113/05/27,32691921,28496096179,872.00,878.00,866.00,869.00,+2.00,42682
113/05/28,32712504,28375286215,867.00,873.00,865.00,865.00,-4.00,37323
113/05/29,51073346,43924367680,861.00,868.00,856.00,857.00,-8.00,67680
113/05/30,42535118,35840589611,841.00,848.00,838.00,838.00,-19.00,110390
113/05/31,90177283,74602358441,838.00,846.00,821.00,821.00,-17.00,102070
113/06/03,29629706,25053781742,839.00,853.00,837.00,846.00,+25.00,40694
113/06/04,31031104,26107162214,844.00,851.00,837.00,839.00,-7.00,52392
113/06/05,37531781,31774150536,841.00,857.00,835.00,854.00,+15.00,41869
113/06/06,67300344,60138015941,893.00,899.00,885.00,894.00,+40.00,112332
113/06/07,44489018,39240336617,885.00,888.00,879.00,879.00,-15.00,85990
113/06/11,57435637,51091497348,892.00,895.00,883.00,883.00,+4.00,47589
113/06/12,51874967,46791431521,888.00,914.00,888.00,909.00,+26.00,74526
113/06/13,59656092,54980784829,923.00,935.00,911.00,919.00,X0.00,98777
113/06/14,43289572,39603293460,916.00,922.00,905.00,922.00,+3.00,62552
113/06/17,28796529,26475733502,913.00,925.00,913.00,921.00,-1.00,44582
113/06/18,40870419,38583515635,944.00,950.00,940.00,943.00,+22.00,55791
113/06/19,76684138,74395758883,953.00,984.00,953.00,981.00,+38.00,117235
113/06/20,52144900,50859632569,971.00,981.00,971.00,981.00, 0.00,107978
113/06/21,97995843,94882220706,961.00,978.00,960.00,970.00,-11.00,131503
113/06/24,74081708,70162177693,958.00,960.00,940.00,940.00,-30.00,227255
113/06/25,62079701,57978440842,925.00,945.00,923.00,945.00,+5.00,103844
113/06/26,48821135,46668874056,951.00,960.00,951.00,960.00,+15.00,56563
113/06/27,41276086,39447006518,951.00,961.00,949.00,960.00, 0.00,41133
113/06/28,42998776,41476565443,956.00,971.00,955.00,966.00,+6.00,42853
113/07/01,20936005,20320957284,968.00,977.00,965.00,968.00,+2.00,38293
113/07/02,27992930,26971516491,967.00,971.00,959.00,960.00,-8.00,38928
113/07/03,25022531,24386705873,976.00,979.00,967.00,979.00,+19.00,36096
113/07/04,47251502,47347126144,"1,000.00","1,010.00",997.00,"1,005.00",+26.00,92002
113/07/05,21735614,21827958195,"1,005.00","1,010.00","1,000.00","1,005.00", 0.00,35802
113/07/08,45678332,47210175550,"1,005.00","1,050.00","1,000.00","1,035.00",+30.00,74909
113/07/09,54339957,56382512235,"1,030.00","1,055.00","1,025.00","1,040.00",+5.00,74954
113/07/10,51810372,53308027550,"1,020.00","1,050.00","1,015.00","1,045.00",+5.00,61199
113/07/11,49304453,52782475514,"1,065.00","1,080.00","1,055.00","1,080.00",+35.00,65005
113/07/12,79472761,82222185037,"1,030.00","1,045.00","1,025.00","1,040.00",-40.00,175230
113/07/15,44123104,45805242410,"1,040.00","1,045.00","1,025.00","1,040.00", 0.00,51387
113/07/16,36244442,38188299315,"1,040.00","1,070.00","1,035.00","1,055.00",+15.00,42202
113/07/17,62390596,64372740657,"1,035.00","1,045.00","1,020.00","1,030.00",-25.00,140918
113/07/18,94327431,93948039256,988.00,"1,005.00",986.00,"1,005.00",-25.00,305207
113/07/19,110541544,108678133437,988.00,995.00,970.00,970.00,-35.00,475484
113/07/22,90266550,85567920175,964.00,965.00,938.00,939.00,-31.00,307235
113/07/23,53439290,51686291065,963.00,979.00,956.00,979.00,+40.00,96981
113/07/26,95625050,88299582909,915.00,930.00,915.00,924.00,-55.00,357707
113/07/29,44000914,41481319942,942.00,948.00,936.00,944.00,+20.00,78605
113/07/30,45996400,42988422577,930.00,949.00,926.00,940.00,-4.00,86139
113/07/31,47407263,44270020990,929.00,940.00,928.00,934.00,-6.00,62829
113/08/01,50257642,48211390158,969.00,969.00,948.00,960.00,+26.00,66845
113/08/02,89044852,81488499047,918.00,928.00,903.00,903.00,-57.00,451562
113/08/05,159662795,133482646539,852.00,857.00,813.00,815.00,-88.00,588373
113/08/06,108521787,94271532567,868.00,895.00,840.00,880.00,+65.00,189677
113/08/07,62643163,56900026373,901.00,920.00,893.00,920.00,+40.00,109333
113/08/08,41288222,37045507217,901.00,905.00,887.00,896.00,-24.00,107303
113/08/09,54464183,50586946042,927.00,934.00,922.00,934.00,+38.00,94661
113/08/12,40968742,38572439136,942.00,948.00,931.00,940.00,+6.00,73731
113/08/13,26831364,25227760336,945.00,945.00,937.00,941.00,+1.00,39633
113/08/14,40527779,38507151446,951.00,955.00,945.00,948.00,+7.00,56190
113/08/15,21714163,20528538286,945.00,950.00,941.00,943.00,-5.00,42553
113/08/16,49830670,48022581452,963.00,969.00,958.00,969.00,+26.00,86023
113/08/19,22416274,21737948903,969.00,975.00,964.00,973.00,+4.00,43467
113/08/20,26420625,25701355510,977.00,977.00,968.00,973.00, 0.00,43667
113/08/21,32606816,31287150192,961.00,964.00,956.00,958.00,-15.00,83432
113/08/22,25850379,24661701935,958.00,964.00,948.00,951.00,-7.00,58791
113/08/23,31203321,29530574857,944.00,952.00,939.00,949.00,-2.00,57023
